id_original,comuna,nombre_comuna,nombre_institucion,tipo_organizacion,codigo_dane,telefono,correo,direccion_original,estado,fecha_actualizacion,direccion_normalizada,consulta_geocodificacion,latitud,longitud,fuente_coordenadas,precision_geocodificacion
28.0,1,POPULAR,ESC HERMANA ALCIRA CASTRO OSORIO,IE,305001019509,4485298/5283657,emailalciracastro1@outlook.com,CR 27B 107FA 138,ACTIVO,2020.0,CR 27B 107FA 138,"CR 27B 107FA 138, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
29.0,1,POPULAR,COL EMAUS,IE,305001020094,5219411 - 5219275,Sin registro,CR 40 95 A 30,ACTIVO,2020.0,CR 40 95 A 30,"CR 40 95 A 30, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
30.0,1,POPULAR,INSTITUCIÓN EDUCATIVA PEQUEÑA MARIA,IE,305001022496,5290103-5292223-5281994,cupos.iepequenamariacandelaria@gmail,CL 97 A 24 F 56,ACTIVO,2020.0,CL 97 A 24 F 56,"CL 97 A 24 F 56, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
31.0,2,SANTA CRUZ,INST EDUC JOSE MARIA VELAZ,IE,105001000001,4644146/4640912,Ie.josemariavelaz@medellin.gov.co,CL 121 48 67,ACTIVO,2020.0,CL 121 48 67,"CL 121 48 67, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
32.0,2,SANTA CRUZ,INST EDUC BARRIO SANTA CRUZ,IE,105001000043,5294058,iebscruz1@hotmail.com,CL 103 43 A 45,ACTIVO,2020.0,CL 103 43 A 45,"CL 103 43 A 45, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
33.0,2,SANTA CRUZ,INST EDUC LA ASUNCION,IE,105001001163,5217466,ie.laasuncion2014@gmail.com,CR 47 99 77,ACTIVO,2020.0,CR 47 99 77,"CR 47 99 77, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
34.0,2,SANTA CRUZ,INST EDUC CIRO MENDIA,IE,105001001279,2364127,ie.ciromendia@medellin.gov.co,CL 99 48 55,ACTIVO,2020.0,CL 99 48 55,"CL 99 48 55, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
35.0,2,SANTA CRUZ,SEC ESC ARZOBISPO GARCIA,IE,105001000850,2360755,ie.ciromendia@medellin.gov.co,CR 49  98  48,ACTIVO,2020.0,CR 49 98 48,"CR 49 98 48, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
36.0,2,SANTA CRUZ,INST EDUC REPUBLICA DE HONDURAS,IE,105001003131,2360743/2585778,Sin registro,CR 50 B 97 A 30,ACTIVO,2020.0,CR 50 B 97 A 30,"CR 50 B 97 A 30, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
37.0,2,SANTA CRUZ,SEC ESC MUNICIPAL LA ROSA,IE,105001018775,5214683,Sin registro,CR 52     99-24,ACTIVO,2020.0,CR 52 99-24,"CR 52 99-24, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
38.0,2,SANTA CRUZ,INST EDUC  MANUEL URIBE ANGEL,IE,105001005380,2581854,ie.manueluribeangel@medellin.gov.co,CR 49 A 107 65,ACTIVO,2020.0,CR 49 A 107 65,"CR 49 A 107 65, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
39.0,2,SANTA CRUZ,SEC ESC GERARDO DAVID GIRALDO,IE,105001011983,5213916,ie.manueluribeangel@medellin.gov.co,CR 49C    108-70,aCTIVO,2020.0,CR 49C 108-70,"CR 49C 108-70, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
40.0,2,SANTA CRUZ,INST EDUC ASIA IGNACIANA,IE,105001006718,4611821/4641433,iasa1@educame.gov.co,CL 122 51 B 30,aCTIVO,2020.0,CL 122 51 B 30,"CL 122 51 B 30, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
41.0,2,SANTA CRUZ,SEC ESC LA FRONTERA,IE,105001002909,4617220,Sin registro,CL 122    50A-14,ACTIVO,2020.0,CL 122 50A-14,"CL 122 50A-14, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
42.0,2,SANTA CRUZ,SEC ESC ASIA IGNACIANA,IE,105001003352,4612580,Sin registro,CL 123     51A-11,ACTIVO,2020.0,CL 123 51A-11,"CL 123 51A-11, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
43.0,2,SANTA CRUZ,SEC PREESC EL PLAYON,IE,105001019437,4620818,Sin registro,CL 126    51-09,ACTIVO,2020.0,CL 126 51-09,"CL 126 51-09, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
44.0,2,SANTA CRUZ,INST EDUC PABLO NERUDA,IE,105001007978,2367211,Sin registro,CL 97 A 50AA 49,ACTIVO,2020.0,CL 97 A 50AA 49,"CL 97 A 50AA 49, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
45.0,2,SANTA CRUZ,INST EDUC SANTA TERESA,IE,105001013145,2584245 - 2581739,Sin registro,CR 52 109 A 18,ACTIVO,2020.0,CR 52 109 A 18,"CR 52 109 A 18, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
46.0,2,SANTA CRUZ,INST EDUC VILLA DEL SOCORRO,IE,105001019453,5218673,ievilladelsocorro@medellin.gov.co,CL 104 C 48 50,ACTIVO,2020.0,CL 104 C 48 50,"CL 104 C 48 50, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
47.0,2,SANTA CRUZ,SEC ESC FIDEL A. SALDARRIAGA,IE,105001019453,2368687,ievilladelsocorro@medellin.gov.co,CR 48 103 A 01,ACTIVO,2020.0,CR 48 103 A 01,"CR 48 103 A 01, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
48.0,2,SANTA CRUZ,SEC ESC REPUBLICA DE NICARAGUA,IE,105001019453,2368944,ievilladelsocorro@medellin.gov.co,KR 48 103 B 01,INHABILITADO,2020.0,KR 48 103 B 01,"KR 48 103 B 01, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
49.0,2,SANTA CRUZ,SEC ESC VILLA NIZA,IE,105001019453,5218673,ievilladelsocorro@medellin.gov.co,CL 104 A 50 41,ACTIVO,2020.0,CL 104 A 50 41,"CL 104 A 50 41, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
50.0,2,SANTA CRUZ,INST EDUC FINCA LA MESA,IE,105001023965,2149155,Sin registro,CL 118 51 A 03,ACTIVO,2020.0,CL 118 51 A 03,"CL 118 51 A 03, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
51.0,2,SANTA CRUZ,SEC ESC LA FRANCIA,IE,105001023965,2369693,Sin registro,CL 109 51 71,ACTIVO,2020.0,CL 109 51 71,"CL 109 51 71, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
52.0,2,SANTA CRUZ,SEC ESC JUAN BAUTISTA MONTINI,IE,105001023965,5217992,Sin registro,CR 50A    114-10,ACTIVO,2020.0,CR 50A 114-10,"CR 50A 114-10, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
53.0,2,SANTA CRUZ,SEC ESC LA ISLA,IE,105001023965,2581053,Sin registro,CL 112    47-39,ACTIVO,2020.0,CL 112 47-39,"CL 112 47-39, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
54.0,2,SANTA CRUZ,INST EDUC EL PLAYON,IE,105001026654,4630948,Sin registro,CL 125    51D 12,ACTIVO,2020.0,CL 125 51D 12,"CL 125 51D 12, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
55.0,3,MANRIQUE,INST EDUC GABRIEL RESTREPO MORENO,IE,105001000175,2631645,ie.gabrielrestrepo@medellin.gov.co,CR 39 A 85 59,ACTIVO,2020.0,CR 39 A 85 59,"CR 39 A 85 59, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
56.0,3,MANRIQUE,SEC ESC SANTA BERNARDITA,IE,105001000175,2632428,ie.gabrielrestrepo@medellin.gov.co,CR 40    85A-20,ACTIVO,2020.0,CR 40 85A-20,"CR 40 85A-20, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
57.0,3,MANRIQUE,INST EDUC JOSE ROBERTO VASQUEZ,IE,105001001121,2331414,joserobertovasquezbm@gmail.com,CL 76 39 160,ACTIVO,2020.0,CL 76 39 160,"CL 76 39 160, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
58.0,3,MANRIQUE,SEC ESC BALDOMERO SANIN CANO,IE,105001001015,2338492,joserobertovasquezbm@gmail.com,CR 37 # 75A-2,ACTIVO,2020.0,CR 37 # 75A-2,"CR 37 # 75A-2, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
59.0,3,MANRIQUE,SEC ESC JOSE MANUEL MORA VASQUEZ,IE,105001000922,2334402,joserobertovasquezbm@gmail.com,CR 42A    75-9,ACTIVO,2020.0,CR 42A 75-9,"CR 42A 75-9, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
60.0,3,MANRIQUE,INST EDUC SAN JUAN BAUTISTA DE LA SALLE,IE,105001001155,5225237 5215192,Sin registro,CL 93 40 42,ACTIVO,2020.0,CL 93 40 42,"CL 93 40 42, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
61.0,3,MANRIQUE,INST EDUC MONTECARLO GUILLERMO GAVIRIA CORREA,IE,105001001236,2639104,Sin registro,CR 36 85 B 140,ACTIVO,2020.0,CR 36 85 B 140,"CR 36 85 B 140, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
62.0,3,MANRIQUE,INST EDUC ALVARO MARIN VELASCO,IE,105001001368,2118264,rectoria@iealvaromarinvelasco.edu.co,CR 42 A 76 28,ACTIVO,2020.0,CR 42 A 76 28,"CR 42 A 76 28, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
63.0,3,MANRIQUE,INST EDUC MANUELA BELTRAN,IE,105001001473,5161797 /5272968,iemanuelabeltran2015@gmail.com,CR 37 71 47,ACTIVO,2020.0,CR 37 71 47,"CR 37 71 47, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
64.0,3,MANRIQUE,SEC ESC SAN JOSE,IE,105001001473,2841206,Sin registro,CL 71 33 18,ACTIVO,2020.0,CL 71 33 18,"CL 71 33 18, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
65.0,3,MANRIQUE,INST EDUC JOSE ANTONIO GALAN,IE,105001001660,2363000-2143010,iejoseantoniogalan@josegalan.edu.co,CR 44A 93 87,ACTIVO,2020.0,CR 44A 93 87,"CR 44A 93 87, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
66.0,3,MANRIQUE,INST EDUC RAMON MUNERA LOPERA,IE,105001002135,2636985,Sin registro,CR 30A 77-04,ACTIVO,2020.0,CR 30A 77-04,"CR 30A 77-04, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
67.0,3,MANRIQUE,SEC ESC ALTO DE LA CRUZ,IE,105001002135,2318602,Sin registro,CL 79 C 24 21,ACTIVO,2020.0,CL 79 C 24 21,"CL 79 C 24 21, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
68.0,3,MANRIQUE,INST EDUC PEDRO LUIS VILLA,IE,105001002488,2337963,admin.plv@pedroluisvilla.edu.co,CR 43 66 C 40,ACTIVO,2020.0,CR 43 66 C 40,"CR 43 66 C 40, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
69.0,3,MANRIQUE,SEC ESC MARCO FIDEL SUAREZ,IE,105001002488,2331640,admin.plv@pedroluisvilla.edu.co,CL 70 A 43 74,ACTIVO,2020.0,CL 70 A 43 74,"CL 70 A 43 74, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
70.0,3,MANRIQUE,SEC ESC VERSALLES,IE,105001002488,2843485,admin.plv@pedroluisvilla.edu.co,CL 71 33-33,ACTIVO,2020.0,CL 71 33-33,"CL 71 33-33, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
71.0,3,MANRIQUE,INST EDUC ENRIQUE OLAYA HERRERA,IE,105001005525,2911707,Sin registro,CL 71 A 32 18,ACTIVO,2020.0,CL 71 A 32 18,"CL 71 A 32 18, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
72.0,3,MANRIQUE,INST EDUC SAN LORENZO DE ABURRA,IE,105001009652,2331978,rectoria@iesanlorenzodeaburra.edu.co,CR 39 # 80- 33,ACTIVO,2020.0,CR 39 # 80- 33,"CR 39 # 80- 33, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
73.0,3,MANRIQUE,SEC ESC SAN LORENZO DE ABURRA,IE,105001009652,2118231,rectoria@iesanlorenzodeaburra.edu.co,CL 81 40-46,ACTIVO,2020.0,CL 81 40-46,"CL 81 40-46, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
74.0,3,MANRIQUE,INST EDUC HERNAN TORO AGUDELO,IE,105001009865,2136830,Institucionhta@yahoo.com,CR 45 72 80,ACTIVO,2020.0,CR 45 72 80,"CR 45 72 80, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
75.0,3,MANRIQUE,SEC ESC VICTOR GOMEZ RESTREPO,IE,105001009865,2118250,Institucionhta@yahoo.com,CR 44 78-67,ACTIVO,2020.0,CR 44 78-67,"CR 44 78-67, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
76.0,3,MANRIQUE,SEC ESC NUESTRA SEÑORA DE LAS NIEVES,IE,105001009865,2136830,Institucionhta@yahoo.com,CL 79 44 21,ACTIVO,2020.0,CL 79 44 21,"CL 79 44 21, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
77.0,3,MANRIQUE,INST EDUC FE Y ALEGRIA LA CIMA,IE,105001010588,2633119,comunicaciones@feyalegrialacima.edu.co,CR 36 C 86 B B 15,ACTIVO,2020.0,CR 36 C 86 B B 15,"CR 36 C 86 B B 15, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
78.0,3,MANRIQUE,SEC ESC FE Y ALEGRIA NO 3,IE,105001010588,2112341,comunicaciones@feyalegrialacima.edu.co,CL 89 38-61,ACTIVO,2020.0,CL 89 38-61,"CL 89 38-61, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
79.0,3,MANRIQUE,SEC ESC LA CIMA SAN JOSE,IE,105001010588,2631828,comunicaciones@feyalegrialacima.edu.co,CL 92C 31BB-23,ACTIVO,2020.0,CL 92C 31BB-23,"CL 92C 31BB-23, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
80.0,3,MANRIQUE,INST EDUC REINO DE BELGICA,IE,105001012581,5722332,Sin registro,CL 94 24 C 39,ACTIVO,2020.0,CL 94 24 C 39,"CL 94 24 C 39, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
81.0,3,MANRIQUE,INST EDUC RODRIGO LARA BONILLA,IE,105001019534,2849094,ie.rodrigolarabonill@medellin.gov.co,CR 25 69 D 35,ACTIVO,2020.0,CR 25 69 D 35,"CR 25 69 D 35, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
82.0,3,MANRIQUE,INST EDUC LAS NIEVES,IE,105001022101,5710070,ie.lasnieves@medellin.gov.co,CL 82 39 69,ACTIVO,2020.0,CL 82 39 69,"CL 82 39 69, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
83.0,3,MANRIQUE,INST EDUC BELLO ORIENTE,IE,105001026549,5288234,Sin registro,CR 23 B 84 B 27,ACTIVO,2020.0,CR 23 B 84 B 27,"CR 23 B 84 B 27, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
84.0,3,MANRIQUE,SEC ESC BELLO ORIENTE,IE,105001026549,5290858,Sin registro,CL 83 B 25 C 06,ACTIVO,2020.0,CL 83 B 25 C 06,"CL 83 B 25 C 06, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
85.0,3,MANRIQUE,COL MARIA REINA DEL CARMELO,IE,305001004528,4483299-5202564,Sin registro,CR 43 A 85 104,PENDIENTE VALIDACION,2020.0,CR 43 A 85 104,"CR 43 A 85 104, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
86.0,3,MANRIQUE,COL PABLO VI,IE,305001004871,3227700,Sin registro,CR 36 69 30,PENDIENTE VALIDACION,2020.0,CR 36 69 30,"CR 36 69 30, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
87.0,3,MANRIQUE,INST VICARIAL JESUS MAESTRO,IE,305001011770,2337127,Sin registro,CR 45 85 154,PENDIENTE VALIDACION,2020.0,CR 45 85 154,"CR 45 85 154, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
88.0,3,MANRIQUE,CENTRO EDUCATIVO MI DULCE HOGAR,IE,305001012156,2631648,Sin registro,CL 92 36 C 54,PENDIENTE VALIDACION,2020.0,CL 92 36 C 54,"CL 92 36 C 54, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
89.0,3,MANRIQUE,CENT PEDAG LA MAGIA DE APRENDER,IE,305001022453,2911974,Sin registro,CL 70 33 37,PENDIENTE VALIDACION,2020.0,CL 70 33 37,"CL 70 33 37, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
90.0,3,MANRIQUE,COL GENTE UNIDA JOVENES POR LA PAZ - LUZ DE ORIENTE,IE,305001022461,2514254-4447405 EXT 128,Sin registro,CR 24 72 150,PENDIENTE VALIDACION,2020.0,CR 24 72 150,"CR 24 72 150, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
91.0,3,MANRIQUE,CENT EDUC NUEVO AMANECER,IE,305001025622,528 63 66,Sin registro,CR 22B 87 48,PENDIENTE VALIDACION,2020.0,CR 22B 87 48,"CR 22B 87 48, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
92.0,3,MANRIQUE,COLEGIO BÁSICO SANTA MARIA DE LA CRUZ,IE,305001026335,2313169-2331133,Sin registro,CR 23 C 75 C 246,PENDIENTE VALIDACION,2020.0,CR 23 C 75 C 246,"CR 23 C 75 C 246, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
93.0,3,MANRIQUE,COL DE DSLLO SOC PARA LA ATENC INTEG AL JOVEN TALITA CUMI,IE,305001024623,5137998-5137636-2630644,Sin registro,CR 32 92 C 43,ACTIVO,2020.0,CR 32 92 C 43,"CR 32 92 C 43, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
94.0,4,ARANJUEZ,INST EDUC CAMILO TORRES RESTREPO,IE,105001000141,2338044/5163058,Sin registro,CR 49 83 34,ACTIVO,2020.0,CR 49 83 34,"CR 49 83 34, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
95.0,4,ARANJUEZ,INST EDUC JAVIERA LONDOÑO SEVILLA,IE,105001000876,2118291/2336219,ie.javieralondonosev@medellin.gov.co,CL 71 51 D 26,ACTIVO,2020.0,CL 71 51 D 26,"CL 71 51 D 26, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
96.0,4,ARANJUEZ,INST EDUC JUAN DE DIOS COCK,IE,105001002101,2118268/2110220,Sin registro,CL 88 45 70,ACTIVO,2020.0,CL 88 45 70,"CL 88 45 70, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
97.0,4,ARANJUEZ,INST EDUC JOSE MARIA BRAVO MARQUEZ,IE,105001003425,2635951,ie.josemariabravomar@gmail.com,CL 70 47 A 04,ACTIVO,2020.0,CL 70 47 A 04,"CL 70 47 A 04, Medellín, Antioquia, Colombia",,,pendiente_geocodificacion,
