N°;COMUNA;NOMBRE COMUNA;NOMBRE DE LA ORGANIZACIÓN;TIPO DE ORGANIZACIÓN;DANE ESTABLECIDO;TELÉFONO DE LA ORGANIZACIÓN;CORREO ELECTRÓNICO DE LA ORGANIZACIÓN;DIRECCIÓN FÍSICA DE LA ORGANIZACIÓN;NOMBRE DEL REPRESENTANTE LEGAL DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;NOMBRE DEL ENLACE DENTRO DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;CORREO ELECTRÓNICO;VALIDACION/SOCIALIZACION;FECHA ÚLTIMA ACTUALIZACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1;POPULAR;INST EDUC SAN PABLO;IE ;105001012700;5213098-5213099;iesanpablo811@gmail.com ie.sanpablo10@gmail.com;CL 98 B 37 38;OMAR CUESTA PALACIO;RECTOR;5213098 - 5213099;OMAR CUESTA PALACIOS;RECTOR;5213098-5213099;iesanpablo811@gmail.com ie.sanpablo10@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1;POPULAR;SEC ESC MEDELLIN;IE ;105001012700-105001006912;2363305;iesanpablo811@gmail.com ie.sanpablo10@gmail.com;CL 96  36-45;OMAR CUESTA PALACIO;RECTOR;2363305;OMAR CUESTA PALACIOS;RECTOR;2363305;iesanpablo811@gmail.com ie.sanpablo10@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;POPULAR;SEC ESC MARCO FIDEL SUAREZ;IE ;105001012700-105001010090;2586525;iesanpablo811@gmail.com ie.sanpablo10@gmail.com;CL 99  37-18;OMAR CUETA PALACIO;RECTOR;2586525;OMAR CUESTA PALACIOS;RECTOR;2586525;iesanpablo811@gmail.com ie.sanpablo10@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1;POPULAR;INST EDUC NUEVO HORIZONTE -PAULO VI;IE ;105001001821;5722929/5285638;"nhpvi@ienuevohorizontemedellin.edu.co
";CR 42 B 110 A 28;ANGEL GIOVANNI PARDO ALVAREZ;RECTOR;5722929/5285638;ANGEL GIOVANNI PARDO ALVAREZ;RECTOR;5722929/5285638;nhpvi@ienuevohorizontemedellin.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1;POPULAR;SEC ESC NUEVO HORIZONTE 2;IE ;105001001821-105001013081;5284658;"nhpvi@ienuevohorizontemedellin.edu.co
";CR 37 107AA-21;ANGEL GIOVANNI PARDO ALVAREZ;RECTOR;5722929/5285638;ANGEL GIOVANNI PARDO ALVAREZ;RECTOR;5284658;nhpvi@ienuevohorizontemedellin.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;POPULAR;INST EDUC FE Y ALEGRIA GRANIZAL;IE ;105001015091;5293562;rectoria@feyalegriagranizal.edu.co;CR 39 A 104 23;MARISOL LOPEZ MESA;RECTORA;5293562;MARISOL LOPEZ MESA;RECTORA;5293562;rectoria@feyalegriagranizal.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;POPULAR;SEC ESC FE Y ALEGRIA GRANIZAL;IE ;105001015091-105001016489;5293564;rectoria@feyalegriagranizal.edu.co;CR 39A 104-40;MARISOL LOPEZ MESA;RECTORA;5293564;MARISOL LOPEZ MESA;RECTORA;5293564;rectoria@feyalegriagranizal.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;POPULAR;INST EDUC LA AVANZADA;IE ;105001019305;5721377;ie.laavanzada@medellin.gov.co;CR 27 106 B B 65;DORA CELY ROJAS TOBON;RECTORA;5721377;DORA CELLY ROJAS TOBON;RECTORA;5721377;ie.laavanzada@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1;POPULAR;INST EDUC ANTONIO DERKA - SANTO DOMINGO;IE ;105001025844;5295218-5295216;santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co ;CR 28 107 425;RUBEN DARIO URIBE MEJIA;RECTOR;5295218-5295216;RUBEN DARIO URIBE MEJIA;RECTOR;5295218-5295216;santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co ;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1;POPULAR;SEC ESC ANTONIO DERKA;IE ;105001025844-205001019491;5295216-5721312;santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co ;CR 28 107 365;RUBEN DARIO URIBE MEJIA;RECTOR;5295216-5721312;RUBEN DARIO URIBE MEJIA;RECTOR;5295216-5721312;santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co ;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;POPULAR;SEC ESC SANTO DOMINGO SAVIO;IE ;105001025844-105001006726;5293550;santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co ;CR 28 107 473;RUBEN DARIO URIBE MEJIA;RECTOR;5293550;RUBEN DARIO URIBE MEJIA;RECTOR;5293550;santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co ;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1;POPULAR;SEC ESC CARPINELO AMAPOLITA;IE ;105001025844-105001019283;5290481;santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co ;CL 97  23-12;RUBEN DARIO URIBE MEJIA;RECTOR;5290481;RUBEN DARIO URIBE MEJIA ;RECTOR;5290481;santodomingosavio.ie@gmail.com  ie.antoniosanto@medellin.gov.co ;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1;POPULAR;INST EDUC LA CANDELARIA;IE ;305001015287;5721611 5288002 5724336 EXT 101;ie.lacandelaria@medellin.gov.co;CL 106 32 100;JORGE ELIECER MURIEL MURIEL;RECTOR;5721611 5288002 5724336 EXT 101;JORGE E. MURIEL MURIEL;RECTOR;5721611 5288002 5724336 EXT 101;ie.lacandelaria@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1;POPULAR;SEC ESC LA ESPERANZA NO 2;IE ;305001015287-105001011703;5723241;ie.lacandelaria@medellin.gov.co;CR 29 102 20;JORGE ELIECER MURIEL MURIEL;RECTOR;5723241;JORGE E. MURIEL MURIEL;RECTOR;5723241;ie.lacandelaria@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1;POPULAR;INST EDUC BARRIO SAN NICOLAS;IE ;105001026671;2360235;Sin registro;CR 45A 96 17;HENRY MONSALVE AMARILES;RECTOR;2360235;HENRY MONSALVE AMARILES;RECTOR;2360235;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;1;POPULAR;COL SAGRADA FAMILIA ALDEA PABLO VI;IE ;105001007919;5290009;soporte@sagradafamiliahpar.edu.co;CR 30 100 B 30;HNA BLANCA MARGARITA BERRIO DUQUE;RECTORA;5290009;HNA BLANCA MARGARITA BERRIO DUQUE;RECTORA;5290009;soporte@sagradafamiliahpar.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;1;POPULAR;ESC POPULAR EUCARISTICA JULIO C. HERNANDEZ;IE ;305001016984;2517700;"e.p.e.colegiojuliochernandez@gmail.com
e.p.e.colegiojuliochernandez@hotmail.com";CL 108 43 16;PRESBÍTERO CARLOS ANDRÉS FLÓREZ MADRID;RECTOR;2517700;PRESBÍTERO CARLOS ANDRÉS FLÓREZ MADRID;RECTOR;"3227700 Ext. 1421 - 1521
2366036 2517700";"e.p.e.colegiojuliochernandez@gmail.com
e.p.e.colegiojuliochernandez@hotmail.com";ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1;POPULAR;ESC HERMANA ALCIRA CASTRO OSORIO;IE ;305001019509;4485298/5283657;emailalciracastro1@outlook.com;CR 27B 107FA 138;HNA. GLADYS CALDERON RIVERA;RECTORA;4485298/5283657;HNA. GLADYS CALDERON RIVERA;RECTORA;4485298/5283657;emailalciracastro1@outlook.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;1;POPULAR;COL EMAUS;IE ;305001020094;5219411 - 5219275;Sin registro;CR 40 95 A 30;PBRO JOSÉ NICOLÁS ATEHORTÚA ATEHORTÚA;RECTOR;5219411 - 5219275;PBRO JOSÉ NICOLÁS ATEHORTÚA ATEHORTÚA;RECTOR;5219411 - 5219275;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1;POPULAR;INSTITUCIÓN EDUCATIVA PEQUEÑA MARIA;IE ;305001022496;5290103-5292223-5281994;cupos.iepequenamariacandelaria@gmail;CL 97 A 24 F 56;HECTOR DE JESUS SOTO VASQUEZ;RECTOR;5290103-5292223-5281994;HECTOR DE JESUS SOTO VASQUEZ;RECTOR;5290103-5292223-5281994;cupos.iepequenamariacandelaria@gmail;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;2;SANTA CRUZ;INST EDUC JOSE MARIA VELAZ;IE ;105001000001;4644146/4640912; Ie.josemariavelaz@medellin.gov.co;CL 121 48 67;ELVER ARIAS BARRAGAN;RECTOR;4644146/4640912;ELVER ARIAS BARRAGAN;RECTOR;4644146/4640912; Ie.josemariavelaz@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;2;SANTA CRUZ;INST EDUC BARRIO SANTA CRUZ;IE ;105001000043;5294058;iebscruz1@hotmail.com;CL 103 43 A 45;"HUGO LEON GUTIERREZ ZAPATA- RECTOR                                        	5294058";RECTOR;5294058;HUGO LEON GUTIERREZ ZAPATA;RECTOR;5294058;iebscruz1@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;2;SANTA CRUZ;INST EDUC LA ASUNCION;IE ;105001001163;5217466;ie.laasuncion2014@gmail.com;CR 47 99 77;GLADYS HENAO OROZCO;RECTORA;5217466;GLADYS HENAO OROZCO;RECTORA;5217466;ie.laasuncion2014@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;2;SANTA CRUZ;INST EDUC CIRO MENDIA;IE ;105001001279;2364127;ie.ciromendia@medellin.gov.co;CL 99 48 55;MIGUEL ANGEL TANGARIFE HENAO.;RECTORA;2364127;MIGUEL ANGEL TANGARIFE HENAO;RECTOR;2364127;ie.ciromendia@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;2;SANTA CRUZ;SEC ESC ARZOBISPO GARCIA;IE ;105001000850;2360755;ie.ciromendia@medellin.gov.co;CR 49  98  48;MIGUEL ANGEL TANGARIFE HENAO.;RECTOR;2360755;MIGUEL ANGEL TANGARIFE HENAO;RECTOR;2360755;ie.ciromendia@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;2;SANTA CRUZ;INST EDUC REPUBLICA DE HONDURAS;IE ;105001003131;2360743/2585778;Sin registro;CR 50 B 97 A 30;BERNARDO ANTONIO MORALES;RECTOR;2360743/2585778;BERNARDO ANTONIO MORALES;RECTOR;2360743/2585778;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;2;SANTA CRUZ;SEC ESC MUNICIPAL LA ROSA;IE ;105001018775;5214683;Sin registro;CR 52     99-24;BERNARDO ANTONIO MORALES;RECTOR;5214683;BERNARDO ANTONIO MORALES;RECTOR;5214683;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;2;SANTA CRUZ;INST EDUC  MANUEL URIBE ANGEL;IE ;105001005380;2581854;ie.manueluribeangel@medellin.gov.co;CR 49 A 107 65;JORGE ALIRIO ECHEVERRI TAMAYO;RECTOR;2581854;JORGE ALIRIO ECHEVERRY TAMAYO;RECTOR;2581854;ie.manueluribeangel@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;2;SANTA CRUZ;SEC ESC GERARDO DAVID GIRALDO;IE ;105001011983;5213916;ie.manueluribeangel@medellin.gov.co;CR 49C    108-70;JORGE ALIRIO ECHEVERRI TAMAYO;RECTOR;5213916;JORGE ALIRIO ECHEVERRY TAMAYO;RECTOR;5213916;ie.manueluribeangel@medellin.gov.co;aCTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;2;SANTA CRUZ;INST EDUC ASIA IGNACIANA;IE ;105001006718;4611821/4641433;iasa1@educame.gov.co;CL 122 51 B 30;CONSTANZA MARIA GIRALDO SOTO;RECTORA;4610517 -4612580;CONSTANZA MARIA GIRALDO SOTO;RECTORA;4610517 -4612580;iasa1@educame.gov.co;aCTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;2;SANTA CRUZ;SEC ESC LA FRONTERA;IE ;105001002909;4617220;Sin registro;CL 122    50A-14;CONSTANZA MARIA GIRALDO SOTO;RECTORA;4617220;CONSTANZA MARIA GIRALDO SOTO;RECTORA;4617220;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;2;SANTA CRUZ;SEC ESC ASIA IGNACIANA;IE ;105001003352;4612580;Sin registro;CL 123     51A-11;CONSTANZA MARIA GIRALDO SOTO;RECTORA;4612580;CONSTANZA MARIA GIRALDO SOTO;RECTORA;4612580;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;2;SANTA CRUZ;SEC PREESC EL PLAYON;IE ;105001019437;4620818;Sin registro;CL 126    51-09;CONSTANZA MARIA GIRALDO SOTO;RECTORA;4620818;CONSTANZA MARIA GIRALDO SOTO;RECTORA;4620818;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;2;SANTA CRUZ;INST EDUC PABLO NERUDA;IE ;105001007978;2367211;Sin registro;CL 97 A 50AA 49;EDUARDO LUIS LOPEZ GUZMAN;RECTOR;2367211;FERNANDO ENRIQUE SALAMANCA BECERRA ;RECTOR;2367211;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;2;SANTA CRUZ;INST EDUC SANTA TERESA;IE ;105001013145;2584245 - 2581739;Sin registro;CR 52 109 A 18;HECTOR HERNAN GARCIA DUQUE;RECTOR;2584245 - 2581739;HECTOR HERNAN GARCIA DUQUE;RECTOR;2584245 - 2581739;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;2;SANTA CRUZ;INST EDUC VILLA DEL SOCORRO;IE ;105001019453;5218673;ievilladelsocorro@medellin.gov.co;CL 104 C 48 50;JULIO HUMBERTO FERNANDEZ TRUJILLO;RECTOR;5218673;JULIO HUMBERTO FERNANDEZ TRUJILLO;RECTOR;5218673;ievilladelsocorro@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;2;SANTA CRUZ;SEC ESC FIDEL A. SALDARRIAGA;IE ;105001019453;2368687;ievilladelsocorro@medellin.gov.co;CR 48 103 A 01;JULIO HUMBERTO FERNANDEZ TRUJILLO;RECTOR;2368687;JULIO HUMBERTO FERNANDEZ TRUJILLO;RECTOR;2368687;ievilladelsocorro@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;2;SANTA CRUZ;SEC ESC REPUBLICA DE NICARAGUA;IE ;105001019453;2368944;ievilladelsocorro@medellin.gov.co;KR 48 103 B 01;JULIO HUMBERTO FERNANDEZ TRUJILLO;;2368944;JULIO HUMBERTO FERNANDEZ TRUJILLO;RECTOR;2368944;ievilladelsocorro@medellin.gov.co;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;2;SANTA CRUZ;SEC ESC VILLA NIZA;IE ;105001019453;5218673;ievilladelsocorro@medellin.gov.co;CL 104 A 50 41;JULIO HUMBERTO FERNANDEZ TRUJILLO;;5218673;JULIO HUMBERTO FERNANDEZ TRUJILLO;RECTOR;5218673;ievilladelsocorro@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;2;SANTA CRUZ;INST EDUC FINCA LA MESA;IE ;105001023965;2149155;Sin registro;CL 118 51 A 03;LUIS EUGENIO MENA PALACIOS;RECTOR;2149155;LUIS EUGENIO MENA PALACIOS;RECTOR;2149155;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;2;SANTA CRUZ;SEC ESC LA FRANCIA;IE ;105001023965;2369693;Sin registro;CL 109 51 71;LUIS EUGENIO MENA PALACIOS;RECTOR;2369693;LUIS EUGENIO MENA PALACIOS;RECTOR;2369693;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;2;SANTA CRUZ;SEC ESC JUAN BAUTISTA MONTINI;IE ;105001023965;5217992;Sin registro;CR 50A    114-10;LUIS EUGENIO MENA PALACIOS;RECTOR;5217992;LUIS EUGENIO MENA PALACIOS;RECTOR;5217992;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;2;SANTA CRUZ;SEC ESC LA ISLA;IE ;105001023965;2581053;Sin registro;CL 112    47-39;LUIS EUGENIO MENA PALACIOS;RECTOR;2581053;LUIS EUGENIO MENA PALACIOS;RECTOR;2581053;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;2;SANTA CRUZ;INST EDUC EL PLAYON;IE ;105001026654;4630948;Sin registro;CL 125    51D 12;MIGUEL VALOIS ASPRILLA;RECTOR;4630948;MIGUEL VALOIS ASPRILLA;RECTOR;4630948;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;3;MANRIQUE;INST EDUC GABRIEL RESTREPO MORENO;IE ;105001000175;2631645;ie.gabrielrestrepo@medellin.gov.co;CR 39 A 85 59;ALVARO MEJIA PAYARES;RECTOR;2631645;ALVARO MEJIA PAYARES ;RECTOR;2631645;ie.gabrielrestrepo@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;3;MANRIQUE;SEC ESC SANTA BERNARDITA;IE ;105001000175;2632428;ie.gabrielrestrepo@medellin.gov.co;CR 40    85A-20;ALVARO MEJIA PAYARES;RECTOR;2632428;ALVARO MEJIA PAYARES ;RECTOR;2632428;ie.gabrielrestrepo@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;3;MANRIQUE;INST EDUC JOSE ROBERTO VASQUEZ;IE ;105001001121;2331414;joserobertovasquezbm@gmail.com;CL 76 39 160;NESTOR RENE OTALORA GARZON.;RECTOR;2331414;NESTOR RENE OTALORA GARZON;RECTOR;2331414;joserobertovasquezbm@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;3;MANRIQUE;SEC ESC BALDOMERO SANIN CANO;IE ;105001001015;2338492;joserobertovasquezbm@gmail.com;CR 37 # 75A-2;NESTOR RENE OTALORA GARZON.;RECTOR;2338492;NESTOR RENE OTALORA GARZON;RECTOR;2338492;joserobertovasquezbm@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;3;MANRIQUE;SEC ESC JOSE MANUEL MORA VASQUEZ;IE ;105001000922;2334402;joserobertovasquezbm@gmail.com;CR 42A    75-9;NESTOR RENE OTALORA GARZON.;RECTOR;2334402;NESTOR RENE OTALORA GARZON;RECTOR;2334402;joserobertovasquezbm@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;3;MANRIQUE;INST EDUC SAN JUAN BAUTISTA DE LA SALLE;IE ;105001001155;5225237 5215192;Sin registro;CL 93 40 42;DARIO DE JESUS GUTIERREZ ZAPATA;RECTOR;5225237 5215192;DARIO DE JESUS RODRIGUEZ ZAPATA;RECTOR;5225237 5215192;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;3;MANRIQUE;INST EDUC MONTECARLO GUILLERMO GAVIRIA CORREA;IE;105001001236;2639104;Sin registro;CR 36 85 B 140;LUZ MARINA DURANGO SERNA DE VILLA;RECTOR;2639104;LUZ MARINA DURANGO SERNA;RECTOR;2639104;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;3;MANRIQUE;INST EDUC ALVARO MARIN VELASCO;IE;105001001368;2118264;rectoria@iealvaromarinvelasco.edu.co;CR 42 A 76 28;DAVID ALEJANDRO JARAMILLO YEPES;RECTOR;2118264;DAVID ALEJANDRO JARAMILLO YEPES;RECTOR;2118264;rectoria@iealvaromarinvelasco.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;3;MANRIQUE;INST EDUC MANUELA BELTRAN;IE;105001001473;5161797 /5272968;iemanuelabeltran2015@gmail.com;CR 37 71 47;CESAR AUGUSTO CORRALES AGUDELO;RECTOR;5161797 /5272968;CESAR AUGUSTO CORRALES AGUDELO;RECTOR;5161797 /5272968;iemanuelabeltran2015@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;3;MANRIQUE;SEC ESC SAN JOSE;IE;105001001473;2841206;Sin registro;CL 71 33 18;CESAR AUGUSTO CORRALES AGUDELO;RECTOR;5161797 /5272968;CESAR AUGUSTO CORRALES AGUDELO;RECTOR;5161797 /5272968;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;3;MANRIQUE;INST EDUC JOSE ANTONIO GALAN;IE;105001001660;2363000-2143010;iejoseantoniogalan@josegalan.edu.co;CR 44A 93 87;JHON MARIO GARAVITO RIVERO;RECTOR;2363000-2143010;JHON MARIO GARAVITO RIVERO;RECTOR;2363000-2143010;iejoseantoniogalan@josegalan.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
